day,hour,is_peak,day_type,station_name,boarding,alighting
0,6,0,WEEKDAY,Aluva,379,359
0,6,0,WEEKDAY,Pulinchodu,159,96
0,6,0,WEEKDAY,Companypady,134,93
0,6,0,WEEKDAY,Ambattukavu,156,93
0,6,0,WEEKDAY,Muttom,122,115
0,6,0,WEEKDAY,Kalamassery,147,114
0,6,0,WEEKDAY,CUSAT,113,137
0,6,0,WEEKDAY,Pathadipalam,149,81
0,6,0,WEEKDAY,Edappally,349,348
0,6,0,WEEKDAY,Changampuzha Park,156,117
0,6,0,WEEKDAY,Palarivattom,190,130
0,6,0,WEEKDAY,JLN Stadium,167,117
0,6,0,WEEKDAY,Kaloor,403,331
0,6,0,WEEKDAY,Lissie,174,118
0,6,0,WEEKDAY,Maharajas College,147,119
0,6,0,WEEKDAY,Ernakulam South,357,340
0,6,0,WEEKDAY,Kadavanthra,95,158
0,6,0,WEEKDAY,Elamkulam,106,157
0,6,0,WEEKDAY,Vyttila,391,374
0,6,0,WEEKDAY,Thaikoodam,127,122
0,6,0,WEEKDAY,Petta,162,91
0,6,0,WEEKDAY,Vadakkekotta,119,86
0,6,0,WEEKDAY,SN Junction,168,122
0,6,0,WEEKDAY,Tripunithura,164,145
0,7,1,WEEKDAY,Aluva,936,714
0,7,1,WEEKDAY,Pulinchodu,257,300
0,7,1,WEEKDAY,Companypady,312,336
0,7,1,WEEKDAY,Ambattukavu,333,336
0,7,1,WEEKDAY,Muttom,387,209
0,7,1,WEEKDAY,Kalamassery,220,214
0,7,1,WEEKDAY,CUSAT,268,277
0,7,1,WEEKDAY,Pathadipalam,272,322
0,7,1,WEEKDAY,Edappally,859,750
0,7,1,WEEKDAY,Changampuzha Park,342,326
0,7,1,WEEKDAY,Palarivattom,293,326
0,7,1,WEEKDAY,JLN Stadium,227,267
0,7,1,WEEKDAY,Kaloor,901,655
0,7,1,WEEKDAY,Lissie,261,253
0,7,1,WEEKDAY,Maharajas College,322,280
0,7,1,WEEKDAY,Ernakulam South,875,872
0,7,1,WEEKDAY,Kadavanthra,333,336
0,7,1,WEEKDAY,Elamkulam,319,255
0,7,1,WEEKDAY,Vyttila,931,732
0,7,1,WEEKDAY,Thaikoodam,256,333
0,7,1,WEEKDAY,Petta,370,316
0,7,1,WEEKDAY,Vadakkekotta,328,278
0,7,1,WEEKDAY,SN Junction,293,351
0,7,1,WEEKDAY,Tripunithura,288,208
0,8,1,WEEKDAY,Aluva,900,744
0,8,1,WEEKDAY,Pulinchodu,364,291
0,8,1,WEEKDAY,Companypady,349,250
0,8,1,WEEKDAY,Ambattukavu,387,224
0,8,1,WEEKDAY,Muttom,229,253
0,8,1,WEEKDAY,Kalamassery,306,344
0,8,1,WEEKDAY,CUSAT,294,264
0,8,1,WEEKDAY,Pathadipalam,328,216
0,8,1,WEEKDAY,Edappally,1007,716
0,8,1,WEEKDAY,Changampuzha Park,358,304
0,8,1,WEEKDAY,Palarivattom,242,289
0,8,1,WEEKDAY,JLN Stadium,301,307
0,8,1,WEEKDAY,Kaloor,940,850
0,8,1,WEEKDAY,Lissie,353,257
0,8,1,WEEKDAY,Maharajas College,296,327
0,8,1,WEEKDAY,Ernakulam South,735,758
0,8,1,WEEKDAY,Kadavanthra,339,215
0,8,1,WEEKDAY,Elamkulam,309,309
0,8,1,WEEKDAY,Vyttila,766,884
0,8,1,WEEKDAY,Thaikoodam,272,361
0,8,1,WEEKDAY,Petta,413,346
0,8,1,WEEKDAY,Vadakkekotta,387,255
0,8,1,WEEKDAY,SN Junction,253,299
0,8,1,WEEKDAY,Tripunithura,287,275
0,9,1,WEEKDAY,Aluva,717,695
