train_id,brake_pad_wear_pct,door_cycles,hvac_pressure_psi,traction_motor_temp_c,mileage_km,days_since_ibl,past_30d_delays,past_30d_faults,brake_risk,door_risk,hvac_risk,traction_risk,next_day_failure_prob,failure_event
KM-107,76.69,77820,45.46,54.36,15164.6,88,1,1,0.6381,1.0,0.9136,0.0,0.6561,0
KM-106,5.07,54707,61.41,45.42,9035.9,59,1,1,0.0526,0.6455,0.2322,0.0,0.2262,1
KM-119,39.42,67803,60.73,47.79,111320.3,21,1,2,0.2054,0.9403,0.2021,0.0,0.3474,1
KM-102,66.58,24483,44.27,74.71,11018.0,81,1,0,0.4933,0.1693,0.9506,0.1346,0.432,0
KM-110,56.09,10692,73.94,91.51,169412.3,14,2,2,0.4146,0.2089,0.021,0.6145,0.3244,0
KM-115,79.59,13185,73.78,81.42,53299.9,157,1,2,0.6834,0.2269,0.2355,0.3263,0.4083,1
KM-111,22.9,34159,65.52,91.28,17957.8,41,3,0,0.2024,0.279,0.0615,0.6079,0.2745,0
KM-105,70.66,64335,49.62,78.67,72012.2,175,4,1,0.6993,0.8012,0.8779,0.2478,0.6702,1
KM-113,23.15,51015,62.27,63.86,93999.9,151,2,2,0.1536,0.6692,0.3355,0.0,0.2882,0
KM-110,77.73,50080,43.69,72.39,43227.1,84,4,0,0.8042,0.4953,0.9783,0.0683,0.6146,1
KM-125,78.62,56016,50.67,54.88,98465.6,62,0,0,0.6181,0.5859,0.6663,0.0,0.4961,0
KM-115,20.15,62087,58.16,87.18,68635.2,52,1,1,0.0906,0.7637,0.3517,0.4909,0.3911,0
KM-117,92.9,1854,49.75,99.5,46923.3,130,2,1,0.963,0.0835,0.8049,0.8427,0.6874,1
KM-117,70.54,68863,56.46,104.01,74794.3,144,2,0,0.5976,0.7986,0.5576,0.9716,0.7146,0
KM-104,6.49,35754,68.33,65.92,21830.9,161,1,2,0.0542,0.4588,0.2415,0.0,0.182,0
KM-110,28.21,47843,46.12,103.93,95411.3,113,1,3,0.1296,0.7025,0.9246,0.9694,0.5998,1
KM-116,81.2,5499,71.05,91.79,117355.5,75,4,2,0.8593,0.178,0.1125,0.6226,0.4923,0
KM-102,67.27,62135,74.81,55.56,8163.2,142,2,2,0.5525,0.8445,0.213,0.0,0.4471,1
KM-119,62.27,18429,48.54,103.38,73792.1,8,3,1,0.5378,0.1906,0.6704,0.9537,0.5607,0
KM-119,56.48,74744,74.81,73.2,53923.1,6,1,1,0.369,0.9831,0.009,0.0913,0.395,0
KM-103,93.23,66726,50.7,56.45,51983.1,67,0,2,0.8692,0.9217,0.6725,0.0,0.6692,0
KM-124,23.8,5014,74.65,53.41,95707.7,130,2,1,0.1567,0.0957,0.195,0.0,0.1178,0
KM-103,28.06,11647,71.96,75.68,92765.4,173,0,0,0.0787,0.0556,0.2595,0.1623,0.1258,0
KM-114,85.1,56766,40.97,79.73,81733.0,86,1,3,0.7742,0.8377,1.0,0.2781,0.736,1
KM-115,37.42,69027,51.43,94.67,52520.0,108,1,0,0.19,0.8015,0.7047,0.7049,0.5488,0
KM-115,67.96,73615,65.41,103.55,95352.6,158,0,0,0.4618,0.8827,0.237,0.9586,0.6214,0
KM-123,27.58,33217,73.69,95.16,126795.5,129,0,0,0.0761,0.2676,0.1935,0.7188,0.276,0
KM-122,69.31,46543,72.71,83.3,95421.8,69,2,0,0.5804,0.4438,0.1035,0.3799,0.4108,0
KM-125,35.77,10435,41.61,47.44,154705.6,144,0,1,0.1279,0.1271,1.0,0.0,0.2766,0
KM-105,40.87,24049,73.22,98.2,50656.4,138,3,0,0.317,0.1648,0.207,0.8057,0.3547,1
KM-123,89.98,50115,60.5,101.41,105708.0,178,1,2,0.8597,0.6558,0.4469,0.8975,0.7337,0
KM-108,86.48,21764,42.43,51.05,8188.8,35,1,0,0.7979,0.1419,0.9554,0.0,0.5058,0
KM-102,28.46,21358,44.14,86.8,115065.0,157,0,0,0.081,0.1379,1.0,0.4801,0.3589,0
KM-104,20.97,19888,59.9,79.56,133038.4,36,2,2,0.144,0.284,0.2581,0.273,0.2276,0
KM-125,26.44,56069,71.59,75.32,149630.1,86,1,0,0.1199,0.5867,0.129,0.1519,0.2448,0
KM-119,13.22,36270,73.49,85.61,89441.2,111,0,0,0.0175,0.3053,0.1665,0.4459,0.2049,0
KM-120,65.53,61566,67.35,51.81,167912.6,167,1,1,0.4794,0.7551,0.2505,0.0,0.4067,0
KM-115,17.87,24625,69.29,97.01,151734.1,174,1,2,0.0819,0.3308,0.261,0.7718,0.3179,1
KM-119,57.32,43348,52.97,93.77,170768.5,45,2,1,0.4285,0.4789,0.5486,0.6791,0.5152,0
KM-119,15.01,45482,48.88,69.31,105007.8,148,0,0,0.0225,0.4287,0.8668,0.0,0.2884,0
KM-101,66.29,62629,54.01,73.66,19506.0,161,1,0,0.4895,0.6927,0.6812,0.1047,0.5017,0
KM-115,85.2,62642,72.17,60.18,126696.9,146,0,0,0.726,0.6929,0.219,0.0,0.4711,0
KM-101,61.48,69866,71.54,47.73,54168.6,16,3,0,0.528,0.8161,0.024,0.0,0.3936,0
KM-118,28.93,5835,74.52,86.89,98816.9,161,2,0,0.1837,0.0197,0.2415,0.4826,0.214,1
KM-106,90.48,50407,60.34,100.15,19481.0,30,1,0,0.8687,0.5002,0.2314,0.8614,0.6476,1
KM-101,48.23,63292,66.24,68.58,150103.7,177,2,0,0.3326,0.7037,0.2655,0.0,0.3455,1
KM-106,67.25,61100,74.99,104.8,102200.5,53,2,1,0.5523,0.7475,0.0795,0.9942,0.5949,0
KM-113,23.65,71080,63.51,82.09,67678.5,72,0,1,0.0559,0.9175,0.1676,0.3454,0.3515,0
KM-118,81.7,74963,59.63,97.6,75609.5,112,1,2,0.7174,1.0,0.3827,0.7885,0.7353,0
KM-102,36.55,56393,62.28,78.29,20925.4,52,3,1,0.2836,0.6718,0.1867,0.2368,0.3519,0
KM-110,88.39,20963,42.32,47.75,113641.0,126,1,0,0.8313,0.1341,1.0,0.0,0.5245,1
KM-123,57.63,7090,44.86,83.45,36829.0,25,3,0,0.4821,0.0264,0.8431,0.3844,0.4208,1
KM-105,36.06,37668,41.11,77.92,98524.1,12,0,0,0.13,0.3231,0.9735,0.2264,0.3662,0
KM-113,33.94,24321,67.98,82.67,19307.8,94,0,0,0.1152,0.1676,0.141,0.3621,0.1829,1
KM-104,77.56,51428,74.52,77.2,166707.3,14,2,1,0.7015,0.5954,0.021,0.2056,0.4397,1
KM-107,66.84,56658,58.62,51.43,83297.2,115,1,0,0.4968,0.596,0.4275,0.0,0.4084,1
KM-125,80.66,7229,51.46,52.19,160842.3,25,3,1,0.8007,0.1072,0.579,0.0,0.4228,0
KM-117,55.8,61004,52.71,83.76,104886.2,59,2,0,0.4114,0.6659,0.5802,0.393,0.5051,1
KM-123,48.9,78149,46.53,62.11,35340.4,55,1,0,0.2891,0.9655,0.8213,0.0,0.5068,0
KM-124,15.08,42427,73.93,96.93,147987.6,113,3,1,0.1728,0.4662,0.1695,0.7694,0.3648,0
KM-105,21.83,43101,64.88,56.97,133843.3,140,0,1,0.0477,0.4755,0.2147,0.0,0.1785,0
KM-111,88.88,48362,41.81,65.2,28522.6,151,1,1,0.84,0.55,1.0,0.0,0.6315,1
KM-109,73.42,27614,67.8,51.4,153877.3,178,0,2,0.5391,0.3628,0.267,0.0,0.3328,1
KM-108,69.94,6951,67.35,94.68,136337.8,60,0,0,0.4892,0.0256,0.09,0.705,0.3366,0
KM-114,52.08,21611,51.07,80.3,124521.9,72,1,1,0.3212,0.2204,0.6653,0.2942,0.3594,0
KM-115,56.97,68728,71.49,68.03,100121.8,104,1,0,0.3746,0.7963,0.156,0.0,0.3614,0
KM-119,35.14,57819,67.79,82.2,98355.7,155,1,0,0.1735,0.6144,0.2325,0.3487,0.3306,0
KM-123,17.88,68779,59.95,90.75,158434.0,97,0,1,0.032,0.8772,0.3477,0.5928,0.4186,0
KM-120,40.76,21103,45.25,58.76,131394.2,130,0,1,0.1661,0.2155,0.9851,0.0,0.309,0
KM-105,79.41,15153,51.99,58.64,79129.5,90,1,1,0.6806,0.1624,0.6555,0.0,0.4099,0
KM-115,70.35,28306,72.62,78.91,126913.9,120,0,2,0.4949,0.3705,0.18,0.2545,0.3527,1
KM-119,71.28,45327,69.42,99.64,26491.9,101,2,2,0.6081,0.5865,0.1515,0.8469,0.5591,0
KM-121,39.14,76060,51.73,93.17,5810.6,169,0,0,0.1532,0.927,0.7842,0.662,0.5746,0
KM-106,36.17,9666,65.81,72.13,44305.8,108,2,0,0.2308,0.042,0.162,0.0609,0.1359,1
KM-101,37.62,5757,47.7,57.76,95155.4,81,1,0,0.1915,0.0193,0.8134,0.0,0.2345,1
KM-108,50.2,76520,50.85,68.84,79688.1,62,0,0,0.252,0.9355,0.6591,0.0,0.4539,1
KM-116,55.84,19449,50.29,87.84,97338.4,113,2,0,0.4118,0.1199,0.7578,0.5098,0.4276,0
